SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Alpha_Desc	Description
30	INF2	mouse	22	A2	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
38	INF2	mouse	22	A4	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
39	INF2	mouse	22	A5	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
40	INF2	mouse	22	A6	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
41	INF2	mouse	22	A7	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
42	INF2	mouse	22	A8	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
43	INF2	piglet	SF6	SF6A	17-Feb-18	female	early	milk	fecal	NA	2_days_post_inoc	48hrs_post_inoc
44	INF2	piglet	SF6	SF6B	17-Feb-18	female	early	milk	fecal	NA	2_days_post_inoc	48hrs_post_inoc
45	INF2	piglet	SF6	SF6C	17-Feb-18	female	early	milk	fecal	NA	2_days_post_inoc	48hrs_post_inoc
49	INF2	mouse	22	A9	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
50	INF2	mouse	22	A10	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
51	CHLD2	mouse	27	A11	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
52	CHLD2	mouse	27	A12	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
53	CHLD2	mouse	27	A13	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
54	CHLD2	mouse	27	A14	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
58	INF2	piglet	3of7	3A	2-Mar-18	male	late	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
59	INF2	piglet	3of7	3B	2-Mar-18	female	late	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
60	INF2	piglet	3of7	3C	2-Mar-18	male	late	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
61	CHLD2	mouse	27	A15	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
62	CHLD2	mouse	27	A16	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
63	CHLD2	mouse	27	A17	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
64	CHLD2	mouse	27	A18	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
65	CHLD2	mouse	27	A19	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
66	CHLD2	mouse	27	A20	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
67	INF2	piglet	3of7	3D	2-Mar-18	NA	late	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
72	ELD2	piglet	6of7	6A	2-Mar-18	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
73	ADLT2	mouse	28	A21	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
74	ADLT2	mouse	28	A22	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
75	ADLT2	mouse	28	A23	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
76	ADLT2	mouse	28	A24	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
77	ADLT2	mouse	28	A25	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
78	ADLT2	mouse	28	A26	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
79	ELD2	piglet	6of7	6B	2-Mar-18	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
80	ELD2	piglet	6of7	6C	2-Mar-18	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
81	INF2	piglet	3of7	3A	7-Mar-18	male	late	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
82	INF2	piglet	3of7	3B	7-Mar-18	female	late	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
83	INF2	piglet	3of7	3C	7-Mar-18	male	late	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
85	ADLT2	mouse	28	A27	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
86	ADLT2	mouse	28	A28	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
87	ADLT2	mouse	28	A29	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
88	ADLT2	mouse	28	A30	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
