Samp	Col
ASVH1	red
ASVH10	red
ASVH105	red
ASVH107	red
ASVH11	red
ASVH115	red
ASVH12	red
ASVH123	red
ASVH126	red
ASVH13	red
ASVH131	red
ASVH14	red
ASVH147	red
ASVH149	red
ASVH15	red
ASVH158	red
ASVH16	red
ASVH176	red
ASVH19	red
ASVH194	red
ASVH2	red
ASVH20	red
ASVH209	red
ASVH210	red
ASVH212	red
ASVH22	red
ASVH225	red
ASVH234	red
ASVH235	red
ASVH238	red
ASVH246	red
ASVH25	red
ASVH277	red
ASVH28	red
ASVH290	red
ASVH293	red
ASVH3	red
ASVH30	red
ASVH304	red
ASVH309	red
ASVH310	red
ASVH33	red
ASVH334	red
ASVH34	red
ASVH35	red
ASVH363	red
ASVH371	red
ASVH383	red
ASVH397	red
ASVH41	red
ASVH44	red
ASVH51	red
ASVH55	red
ASVH62	red
ASVH620	red
ASVH64	red
ASVH65	red
ASVH78	red
ASVH79	red
ASVH81	red
ASVH88	red
ASVH9	red
ASVH95	red
ASVH96	red
ASVH98	red
ASVM1	dark green
ASVM10	dark green
ASVM105	dark green
ASVM107	dark green
ASVM11	dark green
ASVM115	dark green
ASVM12	dark green
ASVM123	dark green
ASVM126	dark green
ASVM13	dark green
ASVM131	dark green
ASVM14	dark green
ASVM147	dark green
ASVM149	dark green
ASVM15	dark green
ASVM158	dark green
ASVM16	dark green
ASVM176	dark green
ASVM19	dark green
ASVM194	dark green
ASVM2	dark green
ASVM20	dark green
ASVM209	dark green
ASVM210	dark green
ASVM212	dark green
ASVM22	dark green
ASVM225	dark green
ASVM234	dark green
ASVM235	dark green
ASVM238	dark green
ASVM246	dark green
ASVM25	dark green
ASVM277	dark green
ASVM28	dark green
ASVM290	dark green
ASVM293	dark green
ASVM3	dark green
ASVM30	dark green
ASVM304	dark green
ASVM309	dark green
ASVM310	dark green
ASVM33	dark green
ASVM334	dark green
ASVM34	dark green
ASVM35	dark green
ASVM363	dark green
ASVM371	dark green
ASVM383	dark green
ASVM397	dark green
ASVM41	dark green
ASVM44	dark green
ASVM51	dark green
ASVM55	dark green
ASVM62	dark green
ASVM620	dark green
ASVM64	dark green
ASVM65	dark green
ASVM78	dark green
ASVM79	dark green
ASVM81	dark green
ASVM88	dark green
ASVM9	dark green
ASVM95	dark green
ASVM96	dark green
ASVM98	dark green
ASVP1	dark blue
ASVP10	dark blue
ASVP105	dark blue
ASVP107	dark blue
ASVP11	dark blue
ASVP115	dark blue
ASVP12	dark blue
ASVP123	dark blue
ASVP126	dark blue
ASVP13	dark blue
ASVP131	dark blue
ASVP14	dark blue
ASVP147	dark blue
ASVP149	dark blue
ASVP15	dark blue
ASVP158	dark blue
ASVP16	dark blue
ASVP176	dark blue
ASVP19	dark blue
ASVP194	dark blue
ASVP2	dark blue
ASVP20	dark blue
ASVP209	dark blue
ASVP210	dark blue
ASVP212	dark blue
ASVP22	dark blue
ASVP225	dark blue
ASVP234	dark blue
ASVP235	dark blue
ASVP238	dark blue
ASVP246	dark blue
ASVP25	dark blue
ASVP277	dark blue
ASVP28	dark blue
ASVP290	dark blue
ASVP293	dark blue
ASVP3	dark blue
ASVP30	dark blue
ASVP304	dark blue
ASVP309	dark blue
ASVP310	dark blue
ASVP33	dark blue
ASVP334	dark blue
ASVP34	dark blue
ASVP35	dark blue
ASVP363	dark blue
ASVP371	dark blue
ASVP383	dark blue
ASVP397	dark blue
ASVP41	dark blue
ASVP44	dark blue
ASVP51	dark blue
ASVP55	dark blue
ASVP62	dark blue
ASVP620	dark blue
ASVP64	dark blue
ASVP65	dark blue
ASVP78	dark blue
ASVP79	dark blue
ASVP81	dark blue
ASVP88	dark blue
ASVP9	dark blue
ASVP95	dark blue
ASVP96	dark blue
ASVP98	dark blue
