Samp1	Samp2	Col
ASVH1	ASVM1	dark green
ASVH101	ASVM101	dark green
ASVH102	ASVM102	dark green
ASVH105	ASVM105	dark green
ASVH109	ASVM109	dark green
ASVH114	ASVM114	dark green
ASVH115	ASVM115	dark green
ASVH116	ASVM116	dark green
ASVH122	ASVM122	dark green
ASVH1232	ASVM1232	dark green
ASVH124	ASVM124	dark green
ASVH126	ASVM126	dark green
ASVH128	ASVM128	dark green
ASVH13	ASVM13	dark green
ASVH136	ASVM136	dark green
ASVH138	ASVM138	dark green
ASVH14	ASVM14	dark green
ASVH147	ASVM147	dark green
ASVH149	ASVM149	dark green
ASVH15	ASVM15	dark green
ASVH150	ASVM150	dark green
ASVH158	ASVM158	dark green
ASVH16	ASVM16	dark green
ASVH160	ASVM160	dark green
ASVH162	ASVM162	dark green
ASVH171	ASVM171	dark green
ASVH175	ASVM175	dark green
ASVH178	ASVM178	dark green
ASVH187	ASVM187	dark green
ASVH194	ASVM194	dark green
ASVH197	ASVM197	dark green
ASVH198	ASVM198	dark green
ASVH202	ASVM202	dark green
ASVH203	ASVM203	dark green
ASVH206	ASVM206	dark green
ASVH210	ASVM210	dark green
ASVH212	ASVM212	dark green
ASVH214	ASVM214	dark green
ASVH221	ASVM221	dark green
ASVH223	ASVM223	dark green
ASVH225	ASVM225	dark green
ASVH231	ASVM231	dark green
ASVH234	ASVM234	dark green
ASVH236	ASVM236	dark green
ASVH237	ASVM237	dark green
ASVH247	ASVM247	dark green
ASVH254	ASVM254	dark green
ASVH266	ASVM266	dark green
ASVH268	ASVM268	dark green
ASVH277	ASVM277	dark green
ASVH279	ASVM279	dark green
ASVH28	ASVM28	dark green
ASVH285	ASVM285	dark green
ASVH286	ASVM286	dark green
ASVH29	ASVM29	dark green
ASVH300	ASVM300	dark green
ASVH309	ASVM309	dark green
ASVH31	ASVM31	dark green
ASVH323	ASVM323	dark green
ASVH330	ASVM330	dark green
ASVH335	ASVM335	dark green
ASVH342	ASVM342	dark green
ASVH346	ASVM346	dark green
ASVH347	ASVM347	dark green
ASVH35	ASVM35	dark green
ASVH359	ASVM359	dark green
ASVH36	ASVM36	dark green
ASVH371	ASVM371	dark green
ASVH38	ASVM38	dark green
ASVH383	ASVM383	dark green
ASVH386	ASVM386	dark green
ASVH40	ASVM40	dark green
ASVH419	ASVM419	dark green
ASVH42	ASVM42	dark green
ASVH421	ASVM421	dark green
ASVH428	ASVM428	dark green
ASVH454	ASVM454	dark green
ASVH478	ASVM478	dark green
ASVH479	ASVM479	dark green
ASVH48	ASVM48	dark green
ASVH485	ASVM485	dark green
ASVH495	ASVM495	dark green
ASVH5	ASVM5	dark green
ASVH50	ASVM50	dark green
ASVH536	ASVM536	dark green
ASVH55	ASVM55	dark green
ASVH567	ASVM567	dark green
ASVH57	ASVM57	dark green
ASVH577	ASVM577	dark green
ASVH578	ASVM578	dark green
ASVH6	ASVM6	dark green
ASVH62	ASVM62	dark green
ASVH621	ASVM621	dark green
ASVH64	ASVM64	dark green
ASVH662	ASVM662	dark green
ASVH69	ASVM69	dark green
ASVH708	ASVM708	dark green
ASVH712	ASVM712	dark green
ASVH722	ASVM722	dark green
ASVH728	ASVM728	dark green
ASVH74	ASVM74	dark green
ASVH76	ASVM76	dark green
ASVH87	ASVM87	dark green
ASVH888	ASVM888	dark green
ASVH9	ASVM9	dark green
ASVH92	ASVM92	dark green
ASVH93	ASVM93	dark green
ASVH935	ASVM935	dark green
ASVH95	ASVM95	dark green
ASVH1	ASVP1	dark blue
ASVH101	ASVP101	dark blue
ASVH102	ASVP102	dark blue
ASVH105	ASVP105	dark blue
ASVH109	ASVP109	dark blue
ASVH114	ASVP114	dark blue
ASVH115	ASVP115	dark blue
ASVH116	ASVP116	dark blue
ASVH122	ASVP122	dark blue
ASVH1232	ASVP1232	dark blue
ASVH124	ASVP124	dark blue
ASVH126	ASVP126	dark blue
ASVH128	ASVP128	dark blue
ASVH13	ASVP13	dark blue
ASVH136	ASVP136	dark blue
ASVH138	ASVP138	dark blue
ASVH14	ASVP14	dark blue
ASVH147	ASVP147	dark blue
ASVH149	ASVP149	dark blue
ASVH15	ASVP15	dark blue
ASVH150	ASVP150	dark blue
ASVH158	ASVP158	dark blue
ASVH16	ASVP16	dark blue
ASVH160	ASVP160	dark blue
ASVH162	ASVP162	dark blue
ASVH171	ASVP171	dark blue
ASVH175	ASVP175	dark blue
ASVH178	ASVP178	dark blue
ASVH187	ASVP187	dark blue
ASVH194	ASVP194	dark blue
ASVH197	ASVP197	dark blue
ASVH198	ASVP198	dark blue
ASVH202	ASVP202	dark blue
ASVH203	ASVP203	dark blue
ASVH206	ASVP206	dark blue
ASVH210	ASVP210	dark blue
ASVH212	ASVP212	dark blue
ASVH214	ASVP214	dark blue
ASVH221	ASVP221	dark blue
ASVH223	ASVP223	dark blue
ASVH225	ASVP225	dark blue
ASVH231	ASVP231	dark blue
ASVH234	ASVP234	dark blue
ASVH236	ASVP236	dark blue
ASVH237	ASVP237	dark blue
ASVH247	ASVP247	dark blue
ASVH254	ASVP254	dark blue
ASVH266	ASVP266	dark blue
ASVH268	ASVP268	dark blue
ASVH277	ASVP277	dark blue
ASVH279	ASVP279	dark blue
ASVH28	ASVP28	dark blue
ASVH285	ASVP285	dark blue
ASVH286	ASVP286	dark blue
ASVH29	ASVP29	dark blue
ASVH300	ASVP300	dark blue
ASVH309	ASVP309	dark blue
ASVH31	ASVP31	dark blue
ASVH323	ASVP323	dark blue
ASVH330	ASVP330	dark blue
ASVH335	ASVP335	dark blue
ASVH342	ASVP342	dark blue
ASVH346	ASVP346	dark blue
ASVH347	ASVP347	dark blue
ASVH35	ASVP35	dark blue
ASVH359	ASVP359	dark blue
ASVH36	ASVP36	dark blue
ASVH371	ASVP371	dark blue
ASVH38	ASVP38	dark blue
ASVH383	ASVP383	dark blue
ASVH386	ASVP386	dark blue
ASVH40	ASVP40	dark blue
ASVH419	ASVP419	dark blue
ASVH42	ASVP42	dark blue
ASVH421	ASVP421	dark blue
ASVH428	ASVP428	dark blue
ASVH454	ASVP454	dark blue
ASVH478	ASVP478	dark blue
ASVH479	ASVP479	dark blue
ASVH48	ASVP48	dark blue
ASVH485	ASVP485	dark blue
ASVH495	ASVP495	dark blue
ASVH5	ASVP5	dark blue
ASVH50	ASVP50	dark blue
ASVH536	ASVP536	dark blue
ASVH55	ASVP55	dark blue
ASVH567	ASVP567	dark blue
ASVH57	ASVP57	dark blue
ASVH577	ASVP577	dark blue
ASVH578	ASVP578	dark blue
ASVH6	ASVP6	dark blue
ASVH62	ASVP62	dark blue
ASVH621	ASVP621	dark blue
ASVH64	ASVP64	dark blue
ASVH662	ASVP662	dark blue
ASVH69	ASVP69	dark blue
ASVH708	ASVP708	dark blue
ASVH712	ASVP712	dark blue
ASVH722	ASVP722	dark blue
ASVH728	ASVP728	dark blue
ASVH74	ASVP74	dark blue
ASVH76	ASVP76	dark blue
ASVH87	ASVP87	dark blue
ASVH888	ASVP888	dark blue
ASVH9	ASVP9	dark blue
ASVH92	ASVP92	dark blue
ASVH93	ASVP93	dark blue
ASVH935	ASVP935	dark blue
ASVH95	ASVP95	dark blue
