Samp	Col
ASVH1	red
ASVH101	red
ASVH102	red
ASVH105	red
ASVH109	red
ASVH114	red
ASVH115	red
ASVH116	red
ASVH122	red
ASVH1232	red
ASVH124	red
ASVH126	red
ASVH128	red
ASVH13	red
ASVH136	red
ASVH138	red
ASVH14	red
ASVH147	red
ASVH149	red
ASVH15	red
ASVH150	red
ASVH158	red
ASVH16	red
ASVH160	red
ASVH162	red
ASVH171	red
ASVH175	red
ASVH178	red
ASVH187	red
ASVH194	red
ASVH197	red
ASVH198	red
ASVH202	red
ASVH203	red
ASVH206	red
ASVH210	red
ASVH212	red
ASVH214	red
ASVH221	red
ASVH223	red
ASVH225	red
ASVH231	red
ASVH234	red
ASVH236	red
ASVH237	red
ASVH247	red
ASVH254	red
ASVH266	red
ASVH268	red
ASVH277	red
ASVH279	red
ASVH28	red
ASVH285	red
ASVH286	red
ASVH29	red
ASVH300	red
ASVH309	red
ASVH31	red
ASVH323	red
ASVH330	red
ASVH335	red
ASVH342	red
ASVH346	red
ASVH347	red
ASVH35	red
ASVH359	red
ASVH36	red
ASVH371	red
ASVH38	red
ASVH383	red
ASVH386	red
ASVH40	red
ASVH419	red
ASVH42	red
ASVH421	red
ASVH428	red
ASVH454	red
ASVH478	red
ASVH479	red
ASVH48	red
ASVH485	red
ASVH495	red
ASVH5	red
ASVH50	red
ASVH536	red
ASVH55	red
ASVH567	red
ASVH57	red
ASVH577	red
ASVH578	red
ASVH6	red
ASVH62	red
ASVH621	red
ASVH64	red
ASVH662	red
ASVH69	red
ASVH708	red
ASVH712	red
ASVH722	red
ASVH728	red
ASVH74	red
ASVH76	red
ASVH87	red
ASVH888	red
ASVH9	red
ASVH92	red
ASVH93	red
ASVH935	red
ASVH95	red
ASVM1	dark green
ASVM101	dark green
ASVM102	dark green
ASVM105	dark green
ASVM109	dark green
ASVM114	dark green
ASVM115	dark green
ASVM116	dark green
ASVM122	dark green
ASVM1232	dark green
ASVM124	dark green
ASVM126	dark green
ASVM128	dark green
ASVM13	dark green
ASVM136	dark green
ASVM138	dark green
ASVM14	dark green
ASVM147	dark green
ASVM149	dark green
ASVM15	dark green
ASVM150	dark green
ASVM158	dark green
ASVM16	dark green
ASVM160	dark green
ASVM162	dark green
ASVM171	dark green
ASVM175	dark green
ASVM178	dark green
ASVM187	dark green
ASVM194	dark green
ASVM197	dark green
ASVM198	dark green
ASVM202	dark green
ASVM203	dark green
ASVM206	dark green
ASVM210	dark green
ASVM212	dark green
ASVM214	dark green
ASVM221	dark green
ASVM223	dark green
ASVM225	dark green
ASVM231	dark green
ASVM234	dark green
ASVM236	dark green
ASVM237	dark green
ASVM247	dark green
ASVM254	dark green
ASVM266	dark green
ASVM268	dark green
ASVM277	dark green
ASVM279	dark green
ASVM28	dark green
ASVM285	dark green
ASVM286	dark green
ASVM29	dark green
ASVM300	dark green
ASVM309	dark green
ASVM31	dark green
ASVM323	dark green
ASVM330	dark green
ASVM335	dark green
ASVM342	dark green
ASVM346	dark green
ASVM347	dark green
ASVM35	dark green
ASVM359	dark green
ASVM36	dark green
ASVM371	dark green
ASVM38	dark green
ASVM383	dark green
ASVM386	dark green
ASVM40	dark green
ASVM419	dark green
ASVM42	dark green
ASVM421	dark green
ASVM428	dark green
ASVM454	dark green
ASVM478	dark green
ASVM479	dark green
ASVM48	dark green
ASVM485	dark green
ASVM495	dark green
ASVM5	dark green
ASVM50	dark green
ASVM536	dark green
ASVM55	dark green
ASVM567	dark green
ASVM57	dark green
ASVM577	dark green
ASVM578	dark green
ASVM6	dark green
ASVM62	dark green
ASVM621	dark green
ASVM64	dark green
ASVM662	dark green
ASVM69	dark green
ASVM708	dark green
ASVM712	dark green
ASVM722	dark green
ASVM728	dark green
ASVM74	dark green
ASVM76	dark green
ASVM87	dark green
ASVM888	dark green
ASVM9	dark green
ASVM92	dark green
ASVM93	dark green
ASVM935	dark green
ASVM95	dark green
ASVP1	dark blue
ASVP101	dark blue
ASVP102	dark blue
ASVP105	dark blue
ASVP109	dark blue
ASVP114	dark blue
ASVP115	dark blue
ASVP116	dark blue
ASVP122	dark blue
ASVP1232	dark blue
ASVP124	dark blue
ASVP126	dark blue
ASVP128	dark blue
ASVP13	dark blue
ASVP136	dark blue
ASVP138	dark blue
ASVP14	dark blue
ASVP147	dark blue
ASVP149	dark blue
ASVP15	dark blue
ASVP150	dark blue
ASVP158	dark blue
ASVP16	dark blue
ASVP160	dark blue
ASVP162	dark blue
ASVP171	dark blue
ASVP175	dark blue
ASVP178	dark blue
ASVP187	dark blue
ASVP194	dark blue
ASVP197	dark blue
ASVP198	dark blue
ASVP202	dark blue
ASVP203	dark blue
ASVP206	dark blue
ASVP210	dark blue
ASVP212	dark blue
ASVP214	dark blue
ASVP221	dark blue
ASVP223	dark blue
ASVP225	dark blue
ASVP231	dark blue
ASVP234	dark blue
ASVP236	dark blue
ASVP237	dark blue
ASVP247	dark blue
ASVP254	dark blue
ASVP266	dark blue
ASVP268	dark blue
ASVP277	dark blue
ASVP279	dark blue
ASVP28	dark blue
ASVP285	dark blue
ASVP286	dark blue
ASVP29	dark blue
ASVP300	dark blue
ASVP309	dark blue
ASVP31	dark blue
ASVP323	dark blue
ASVP330	dark blue
ASVP335	dark blue
ASVP342	dark blue
ASVP346	dark blue
ASVP347	dark blue
ASVP35	dark blue
ASVP359	dark blue
ASVP36	dark blue
ASVP371	dark blue
ASVP38	dark blue
ASVP383	dark blue
ASVP386	dark blue
ASVP40	dark blue
ASVP419	dark blue
ASVP42	dark blue
ASVP421	dark blue
ASVP428	dark blue
ASVP454	dark blue
ASVP478	dark blue
ASVP479	dark blue
ASVP48	dark blue
ASVP485	dark blue
ASVP495	dark blue
ASVP5	dark blue
ASVP50	dark blue
ASVP536	dark blue
ASVP55	dark blue
ASVP567	dark blue
ASVP57	dark blue
ASVP577	dark blue
ASVP578	dark blue
ASVP6	dark blue
ASVP62	dark blue
ASVP621	dark blue
ASVP64	dark blue
ASVP662	dark blue
ASVP69	dark blue
ASVP708	dark blue
ASVP712	dark blue
ASVP722	dark blue
ASVP728	dark blue
ASVP74	dark blue
ASVP76	dark blue
ASVP87	dark blue
ASVP888	dark blue
ASVP9	dark blue
ASVP92	dark blue
ASVP93	dark blue
ASVP935	dark blue
ASVP95	dark blue
